cleaned_text,cleaned_labels
experienced software engineer expertise developing scalable web application frontend developer technova year fullstack developer softcode ltd year javascript react nodejs aws bsc computer engineering boğaziçi university,group software web development
data analyst experience machine learning big data analytics data analyst analyticsco year python sql machine learning big data msc data science istanbul technical university,group data science big data
warehouse operation specialist expertise stock control inventory optimization warehouse manager retail logistics year stock control inventory management warehouse operation bba business administration marmara university,industrial management group warehouse stock control
general practitioner focus primary healthcare patient care general practitioner city health center year patient care diagnostics primary healthcare md medicine hacettepe university,medical group healthcare general medicine
pharmaceutical researcher expertise drug development clinical trial research scientist pharmatech year clinical researcher biohealth lab year clinical trial drug development laboratory analysis msc pharmaceutical science ege university,medical group pharmaceutical drug development
finance manager expertise corporate financial planning auditing finance manager fincorp year auditor audittrust year corporate finance financial auditing risk assessment bsc finance istanbul university,finance banking group auditing corporate finance
tax consultant specializing corporate tax planning compliance tax consultant taxwise solution year junior accountant accountassist year corporate tax tax compliance financial reporting bsc accounting ankara university,finance banking group tax accounting
hr professional expertise recruitment employee relation hr specialist talenthub year recruitment officer hireright ltd year recruitment employee relation performance management bsc human resource management marmara university,backoffice group hr recruitment
office administrator experience managing backoffice operation data entry office manager bizops solution year data entry specialist datasys year backoffice management data entry administrative support diploma business administration anadolu university,backoffice group administration data entry
sale executive specializing bb client acquisition retail sale sale executive salesforce ltd year retail sale manager marketleaders year bb sale client acquisition retail management bba marketing istanbul university,sale group bb sale retail
business development specialist focusing customer relationship management business development specialist growbiz year customer relationship manager clientfirst year customer relationship management lead generation business expansion mba business development koç university,sale group business development crm
marketing specialist focusing social medium strategy content creation social medium manager adspace year content creator creativeworks year social medium marketing content creation brand strategy bsc marketing boğaziçi university,medium marketing group social medium content marketing
medium planner specializing advertising campaign digital marketing analytics medium planner mediaanalytics year advertising specialist adexperts year campaign planning digital marketing market analysis msc advertising istanbul bilgi university,medium marketing group medium planning advertising
site engineer experienced overseeing construction project managing onsite operation site engineer buildright construction year construction manager urban developer year project management site supervision construction planning bsc civil engineering middle east technical university,field group construction site engineering
architect specializing urban planning sustainable design architect greendesign ltd year urban planner futurecity year urban planning sustainable design architectural rendering msc architecture istanbul technical university,field group architecture urban planning
tour manager extensive experience organizing leading group tour tour manager exploreworld year travel consultant global holiday year tour planning customer relation travel coordination bsc tourism hospitality management akdeniz university,hospitality group tour management travel
client service specialist airline hospitality industry client service specialist skyline airline year hospitality coordinator luxurystays year customer service ticketing hospitality operation diploma hospitality management istanbul university,hospitality group airline client service
ai engineer experience natural language processing machine learning system ai engineer deepmindtech year data scientist innovateai year python tensorflow nlp machine learning msc artificial intelligence boğaziçi university,group artificial intelligence nlp
cybersecurity analyst focusing penetration testing network security cybersecurity analyst securenet year penetration testing network security threat analysis bsc cybersecurity yıldız technical university,group cybersecurity network security
nurse specializing critical care emergency response critical care nurse city hospital year emergency nurse medicare year critical care emergency response patient monitoring bsc nursing hacettepe university,medical group critical care emergency response
biotechnologist focusing pharmaceutical research vaccine development biotech researcher biohealth lab year laboratory technician pharmatech year vaccine development biotechnology pharmaceutical research msc biotechnology ege university,medical group biotechnology pharmaceutical
retail sale specialist experience consumer electronics client acquisition retail sale specialist techstore year sale consultant clientpro year retail sale customer relation market analysis bba marketing marmara university,sale group retail customer relation
business development executive focusing strategic partnership lead generation business development executive growthworks year lead generation specialist leadmasters year strategic partnership business expansion lead generation mba strategic management koç university,sale group business development strategic partnership
civil engineer specializing largescale infrastructure project civil engineer infrabuild year project engineer urbantech year infrastructure design project management construction planning bsc civil engineering istanbul technical university,field group civil engineering infrastructure
landscape architect focusing sustainable urban design green space landscape architect greenspaces ltd year urban designer cityscape year sustainable design urban landscaping architectural planning msc landscape architecture ege university,field group landscape architecture urban design
hospitality professional expertise hotel operation guest relation front office manager luxurystay hotel year guest relation specialist elite hotel group year guest relation hotel operation front office management bsc tourism hospitality management anadolu university,hospitality group hotel management guest relation
travel consultant specializing ticketing customer support international client travel consultant global travel agency year ticketing specialist skyline airline year ticketing customer support travel planning diploma tourism management ege university,hospitality group travel ticketing
office administrator extensive experience managing administrative process scheduling office administrator bizcore solution year administrative assistant adminpro year office management scheduling administrative support diploma business administration marmara university,backoffice group administration office management
hr specialist focusing employee engagement recruitment hr specialist peoplefirst hr year recruitment officer hirepro year employee engagement recruitment hr operation bsc human resource management istanbul university,backoffice group hr recruitment
digital marketing expert experience campaign management seo strategy digital marketing specialist adsphere year seo analyst searchboost year seo digital campaign content marketing bsc marketing koç university,medium marketing group digital marketing seo
medium planner specializing pr campaign brand awareness strategy medium planner prworld year brand specialist brandbuilders year brand management pr campaign medium planning msc advertising istanbul bilgi university,medium marketing group pr campaign brand management
financial analyst specializing risk management investment strategy financial analyst investsmart year risk management specialist securebank year risk analysis investment planning financial modelling bsc economics middle east technical university,finance banking group risk management investment
auditor extensive experience tax compliance corporate financial audit senior auditor auditpro solution year tax consultant taxexperts ltd year corporate auditing tax compliance financial reporting bsc finance marmara university,finance banking group tax compliance auditing
supply chain manager focusing logistics optimization procurement strategy supply chain manager global logistics ltd year procurement specialist smartsupply year logistics optimization procurement inventory management bba logistics anadolu university,industrial management group supply chain procurement
warehouse manager expertise inventory control operational efficiency warehouse manager storage solution ltd year inventory specialist retailsupply year inventory control operational efficiency warehouse management bsc industrial engineering yıldız technical university,industrial management group warehouse inventory control
mechanical engineer specializing construction equipment maintenance mechanical engineer buildtech solution year equipment specialist constructpro ltd year equipment maintenance construction engineering project planning bsc mechanical engineering istanbul technical university,field group mechanical engineering construction
architect experience urban design largescale residential project architect designcity ltd year urban designer urbansolutions year urban design residential architecture sustainable building msc architecture middle east technical university,field group architecture urban design
event planner focusing corporate event luxury wedding event manager eventpro year assistant event coordinator luxuryevents ltd year event planning vendor management customer relation bsc tourism management akdeniz university,hospitality group event planning corporate event
travel operation specialist expertise airline ticketing international travel planning travel operation specialist skytravel year ticketing officer flyhigh airline year travel planning ticketing customer service diploma travel tourism ege university,hospitality group travel airline
frontend developer expertise building responsive user interface optimizing web performance frontend developer webstream year uiux designer creativecode ltd year html cs javascript react bsc computer science boğaziçi university,group web development frontend
devops engineer experience cloud computing cicd pipeline optimization devops engineer cloudops year system administrator securecloud year cicd aws docker kubernetes bsc software engineering middle east technical university,group devops cloud computing
pharmacist specializing drug formulation quality control pharmaceutical specialist medipharm ltd year quality control officer pharmacheck year drug formulation quality control pharmaceutical research bsc pharmacy hacettepe university,medical group pharmaceutical quality control
nutritionist focusing clinical nutrition dietary planning clinical nutritionist healthfirst clinic year dietary consultant nutricare year clinical nutrition diet planning health counseling bsc nutrition dietetics istanbul university,medical group nutrition clinical care
sale manager expertise bc strategy sale team leadership sale manager retailco year team leader shopdirect year sale strategy team leadership retail sale bba marketing marmara university,sale group retail bc
account executive specializing client retention strategic partnership account executive clientpros year customer success manager bizdevco year client retention customer success strategic partnership bba business administration koç university,sale group account management customer success
hospitality operation manager focus luxury hotel management guest experience operation manager elite hotel year guest service manager luxurystay year hospitality management guest service luxury hotel operation bsc tourism management akdeniz university,hospitality group luxury hotel guest experience
travel consultant specializing international tour personalized itinerary travel consultant worldexplorer year tour coordinator adventure travel year tour planning itinerary design customer service diploma travel tourism ege university,hospitality group travel planning tour
software engineer experience backend system api development backend engineer api solution year software developer codelab year java spring boot postgresql api development bsc computer science istanbul technical university,group backend development api design
machine learning engineer focusing predictive modeling ai system machine learning engineer ai innovation year data scientist datainsight year python tensorflow deep learning big data analytics msc artificial intelligence middle east technical university,group machine learning artificial intelligence
construction site manager expertise project scheduling resource allocation site manager buildsmart year construction supervisor megaconstruct year project scheduling resource management team leadership bsc civil engineering boğaziçi university,field group construction management site supervision
environmental engineer specializing sustainability green building practice environmental engineer greentech solution year sustainability consultant ecobuild year sustainability green building environmental impact assessment msc environmental engineering yıldız technical university,field group environmental engineering sustainability
financial planner experience wealth management retirement planning financial planner wealthwise year investment advisor smartinvest year wealth management investment planning retirement strategy bsc economics istanbul university,finance banking group wealth management retirement planning
corporate banker specializing credit risk analysis business loan corporate banker banktrust year credit analyst creditsolutions year credit risk analysis loan processing business development bba finance koç university,finance banking group corporate banking credit analysis
event coordinator expertise organizing conference business expo event coordinator expoevents year event assistant globalconferences year event planning vendor management customer relation diploma hospitality management ege university,hospitality group event management business expo
luxury travel consultant focusing custom itinerary highend experience luxury travel consultant elitetravels year tour planner worldtours year luxury travel itinerary planning client relation bsc tourism hospitality akdeniz university,hospitality group luxury travel itinerary planning
data engineer specializing building optimizing data pipeline data engineer datastream solution year big data analyst insightful data year python sql spark data warehousing msc data engineering middle east technical university,group data engineering big data
fullstack developer focusing scalable web application cloud integration fullstack developer webscale ltd year cloud integration specialist techflow year javascript react nodejs aws bsc software engineering istanbul university,group web development cloud integration
investment banker specializing merger acquisition investment banker capitalmarkets co year analyst financeworks year merger acquisition valuation analysis financial modeling mba finance koç university,finance banking group investment banking merger
tax specialist focusing corporate tax compliance international taxation tax specialist globaltax advisor year junior tax analyst taxbridge year corporate tax international taxation tax compliance bsc accounting ankara university,finance banking group taxation corporate compliance
administrative assistant expertise office coordination scheduling administrative assistant bizops ltd year office coordinator adminplus year scheduling office coordination data entry diploma office management marmara university,backoffice group office management coordination
hr administrator specializing employee relation hr compliance hr administrator peoplesolutions year recruitment officer hireright year employee relation recruitment hr compliance bba human resource anadolu university,backoffice group hr employee relation
event manager experience corporate conference trade show event manager bizevents year event coordinator globalexpos year event planning vendor management budgeting diploma event management akdeniz university,hospitality group event management corporate conference
hotel manager expertise front office operation guest satisfaction hotel manager luxurystay hotel year front office supervisor grand resort year front office management guest satisfaction hotel operation bsc tourism hospitality ege university,hospitality group hotel management front office
civil engineer experience largescale infrastructure project highway construction civil engineer infrabuild ltd year project manager megaconstruct year highway construction infrastructure design project management bsc civil engineering boğaziçi university,field group civil engineering infrastructure
architect specializing sustainable building design residential project architect ecobuild ltd year urban planner designcity year sustainable design architectural planning urban development msc architecture middle east technical university,field group architecture sustainable design
hotel front office manager experience luxury hospitality customer care front office manager grand luxe hotel year guest service officer elitestays year customer service front office operation luxury hospitality bsc tourism hospitality akdeniz university,hospitality group hotel management customer care
travel consultant expertise group travel planning itinerary customization travel consultant worldtravels year tour manager adventuretours year group travel planning custom itinerary customer support diploma travel tourism ege university,hospitality group travel planning group tour
sale executive specializing bb sale customer retention sale executive bizconnect year account manager clientpro ltd year bb sale customer retention negotiation bba marketing istanbul university,sale group bb sale customer management
retail sale manager experience fashion retail store management store manager stylehub year assistant manager trendystore year retail management fashion sale team leadership bba business administration marmara university,sale group retail fashion
construction project manager specializing largescale infrastructure urban development project project manager buildsmart inc year site engineer urbanconstruct year project management infrastructure development team leadership bsc civil engineering middle east technical university,field group construction management urban development
environmental engineer focusing renewable energy sustainability initiative environmental engineer greentech solution year energy consultant ecoenergy year renewable energy sustainability environmental impact assessment msc environmental engineering istanbul technical university,field group environmental engineering renewable energy
registered nurse specializing critical care emergency response critical care nurse city hospital year emergency response nurse healthplus year critical care emergency response patient monitoring bsc nursing hacettepe university,medical group nursing critical care
pharmaceutical researcher expertise drug development regulatory affair research scientist pharmatech lab year clinical research associate globalhealth research year drug development clinical research regulatory affair msc pharmaceutical science ege university,medical group pharmaceutical research clinical trial
social medium strategist focusing campaign optimization audience engagement social medium specialist adsphere year content manager creativeworks year campaign management content creation audience analysis bsc marketing boğaziçi university,medium marketing group social medium campaign management
pr specialist expertise brand awareness medium relation pr specialist mediapro year brand manager brandbuilders year medium relation brand awareness crisis management msc marketing koç university,medium marketing group public relation brand management
hr specialist expertise recruitment employee engagement hr specialist peoplefirst year recruitment officer hirenow year recruitment employee engagement hr compliance bba human resource management marmara university,backoffice group hr recruitment
administrative officer focusing office operation logistics coordination administrative officer admincore year office assistant logiserve year office operation scheduling logistics coordination diploma business administration anadolu university,backoffice group office operation logistics
electrical engineer focusing renewable energy system power distribution power system engineer energysolutions year renewable energy consultant greenpower inc year renewable energy power distribution grid optimization bsc electrical engineering yıldız technical university,field group electrical engineering renewable energy
mechanical engineer specializing hvac system energy efficiency hvac engineer cooltech solution year mechanical design engineer designworks year hvac design energy efficiency modeling bsc mechanical engineering middle east technical university,field group mechanical engineering energy efficiency
travel operation specialist focusing group booking logistics coordination travel operation specialist worldtravels year group coordinator adventureco year group travel booking system customer service diploma travel tourism ege university,hospitality group travel operation group booking
event coordinator experience corporate event trade fair event coordinator bizexpo year assistant event manager eliteevents year event planning budget management vendor coordination diploma event management akdeniz university,hospitality group event management trade fair
sale manager specializing luxury good customer relationship management luxury sale manager exclusivestyle year sale consultant highend co year luxury sale client management negotiation bba marketing koç university,sale group luxury good customer relationship
account executive focusing bb partnership lead generation account executive bizconnect year lead generation specialist marketforce year lead generation partnership development customer acquisition bba business administration marmara university,sale group bb sale lead generation
hr assistant expertise payroll processing employee data management hr assistant peoplecare ltd year office administrator admincore solution year payroll processing data management hr compliance bba human resource management marmara university,backoffice group hr payroll management
administrative officer specializing procurement vendor management administrative officer bizprocure ltd year procurement assistant officeplus year procurement vendor relation administrative support diploma business administration anadolu university,backoffice group procurement vendor management
content marketing specialist focusing seo social medium campaign content marketing specialist seoboost year social medium coordinator digitalwave year content strategy seo social medium marketing bsc marketing boğaziçi university,medium marketing group content marketing seo
advertising account manager specializing client relation campaign planning account manager adworks ltd year campaign planner mediaplus year client relation campaign strategy advertising msc advertising istanbul university,medium marketing group advertising campaign planning
credit risk analyst expertise corporate loan financial modeling credit analyst securebank year financial analyst globalfinance year credit risk analysis corporate loan financial modelling bsc finance marmara university,finance banking group risk analysis corporate finance
investment portfolio manager specializing highnetworth client wealth management portfolio manager capitalwealth year investment advisor financegrowth year portfolio management wealth management investment planning mba finance koç university,finance banking group portfolio management wealth management
biomedical engineer focusing medical device development testing biomedical engineer meditech year device testing specialist biocare year medical device development biomedical research quality assurance bsc biomedical engineering istanbul technical university,medical group biomedical engineering device testing
laboratory technician specializing diagnostic test sample analysis lab technician healthlab ltd year research assistant biodiagnostics year sample analysis diagnostic testing laboratory equipment diploma medical laboratory science hacettepe university,medical group laboratory science diagnostics
geotechnical engineer experience soil testing foundation design geotechnical engineer geobuild ltd year site inspector urbanground year soil testing foundation design site analysis bsc civil engineering boğaziçi university,field group geotechnical engineering soil analysis
environmental engineer specializing water treatment waste management environmental engineer ecowater ltd year waste management specialist greenworks year water treatment waste management environmental compliance msc environmental engineering yıldız technical university,field group environmental engineering water treatment
digital marketing manager expertise influencer marketing brand campaign digital marketing manager adsphere year social medium coordinator brandbuzz year influencer marketing campaign management seo bsc marketing boğaziçi university,medium marketing group digital marketing brand campaign
content creator specializing video production social medium strategy video content specialist creativeworks year social medium manager viralboost year video production social medium strategy content editing diploma medium study istanbul university,medium marketing group content creation video production
sale executive specializing technology sale lead generation sale executive techsales ltd year lead generation specialist innovatesales year technology sale client acquisition lead generation bba business administration marmara university,sale group technology sale lead generation
retail sale manager expertise store management team supervision retail sale manager stylepoint year assistant manager fashionworks year retail management customer engagement team leadership bba marketing koç university,sale group retail sale store management
corporate banker focusing business loan credit portfolio management corporate banker banktrust year credit analyst financepro year business loan credit analysis portfolio management mba finance koç university,finance banking group corporate banking credit portfolio
tax consultant expertise corporate tax compliance financial reporting tax consultant globaltax year junior accountant financeplus year corporate tax financial reporting tax compliance bsc accounting middle east technical university,finance banking group tax compliance corporate finance
logistics specialist focusing supply chain optimization vendor management logistics specialist globalsupply ltd year procurement assistant smartchain solution year supply chain management vendor negotiation inventory control bba logistics supply chain management anadolu university,industrial management group logistics supply chain optimization
production manager specializing manufacturing process lean production production manager industrypro year quality assurance specialist manufactureco year lean manufacturing process optimization quality assurance bsc industrial engineering middle east technical university,industrial management group manufacturing lean production
mechanical engineer specializing thermal system energy efficiency thermal system engineer energytech ltd year mechanical design engineer designworks year thermal system energy efficiency mechanical design bsc mechanical engineering istanbul technical university,technical group mechanical engineering thermal system
electrical engineer focusing power distribution renewable energy solution electrical engineer greenenergy solution year power system analyst energygrid year power distribution renewable energy grid optimization bsc electrical engineering yıldız technical university,technical group electrical engineering renewable energy
warehouse operation manager specializing inventory optimization logistics coordination warehouse manager smartware ltd year inventory specialist globalsupply year inventory optimization logistics coordination warehouse operation bba logistics marmara university,industrial management group warehouse management logistics
production planner experience demand forecasting process scheduling production planner efficientmanuf ltd year process scheduler smartmanufacture year demand forecasting process scheduling resource allocation bsc industrial engineering middle east technical university,industrial management group production planning demand forecasting
civil engineer focusing structural analysis earthquakeresistant building design structural engineer solidbuild ltd year design engineer urbanstructures year structural analysis earthquake resistance building design bsc civil engineering boğaziçi university,technical group civil engineering structural analysis
automation engineer specializing robotics industrial process automation automation engineer robotech solution year process engineer autopro ltd year robotics process automation control system bsc mechatronics engineering yıldız technical university,technical group automation engineering robotics
environmental engineer focusing renewable energy project waste recycling environmental engineer ecotech ltd year recycling specialist greencycle year renewable energy waste recycling environmental policy msc environmental engineering istanbul technical university,field group environmental engineering waste recycling
mechanical engineer focusing hvac design building energy optimization hvac design engineer coolair solution year energy efficiency specialist greenenergy inc year hvac design energy optimization building system bsc mechanical engineering middle east technical university,field group mechanical engineering energy optimization
quality assurance manager focusing industrial process product inspection quality assurance manager manutech ltd year process inspector globalmanufacture year quality assurance industrial inspection process optimization bsc industrial engineering middle east technical university,industrial management group quality assurance industrial process
operation manager specializing factory operation resource allocation operation manager efficientops ltd year logistics coordinator logitrack year factory operation resource allocation process scheduling bsc industrial engineering anadolu university,industrial management group factory operation resource allocation
robotics engineer specializing automation system industrial robotics robotics engineer autobot ltd year automation specialist techflow year automation system industrial robotics control system msc robotics engineering yıldız technical university,technical group robotics engineering automation
electrical engineer focusing power system analysis renewable energy integration power system engineer energygrid year renewable energy consultant ecoenergy year power system analysis renewable energy grid optimization bsc electrical engineering middle east technical university,technical group electrical engineering power system
hr assistant specializing employee data management recruitment coordination hr assistant talenthub ltd year recruitment officer peoplefirst year employee data management recruitment hr operation bba human resource marmara university,backoffice group hr recruitment
administrative officer focusing logistics planning office operation administrative officer bizops ltd year logistics assistant logiserve year logistics planning office coordination data entry diploma business administration anadolu university,backoffice group administration logistics
production supervisor specializing lean manufacturing quality control production supervisor efficientmanuf ltd year quality assurance officer globalproduction year lean manufacturing process optimization quality control bsc industrial engineering middle east technical university,industrial management group production management lean manufacturing
logistics coordinator focusing transportation planning supply chain efficiency logistics coordinator smartchain ltd year transportation planner logitrack year transportation planning supply chain optimization vendor management bba logistics supply chain management anadolu university,industrial management group logistics transportation planning
mechanical engineer specializing industrial machinery design maintenance industrial machinery engineer machtech ltd year maintenance engineer autopro year machinery design preventive maintenance modeling bsc mechanical engineering istanbul technical university,technical group mechanical engineering industrial machinery
civil engineer focusing urban infrastructure sustainable building material infrastructure engineer urbanbuild ltd year material specialist ecostructures year urban infrastructure sustainable material project planning msc civil engineering middle east technical university,technical group civil engineering infrastructure design
event manager specializing corporate conference luxury event event manager eliteevents ltd year assistant coordinator globalexpos year event planning corporate conference vendor management bsc tourism management akdeniz university,hospitality group event management corporate event
travel consultant focusing luxury itinerary personalized experience luxury travel consultant travelpro ltd year itinerary planner worldadventures year luxury travel planning customer relation itinerary design diploma tourism hospitality management ege university,hospitality group travel consultancy luxury travel
brand strategist specializing creating managing digital marketing campaign brand strategist brandboost ltd year digital marketing specialist adsphere year digital campaign brand management seo bsc marketing boğaziçi university,medium marketing group digital marketing brand strategy
advertising specialist focusing medium planning analytics largescale campaign medium planner admasters year advertising analyst marketpro year medium planning analytics campaign optimization bba advertising koç university,medium marketing group advertising medium planning
supply chain manager expertise vendor negotiation logistics planning supply chain manager globallogistics ltd year procurement officer efficientsupply year supply chain optimization vendor negotiation logistics planning bba logistics anadolu university,industrial management group supply chain management logistics
operation analyst specializing process improvement resource allocation operation analyst efficiencypro year resource planner smartmanuf ltd year process improvement resource allocation workflow optimization bsc industrial engineering middle east technical university,industrial management group operation analysis process improvement
software engineer specializing embedded system realtime application embedded system engineer techcore ltd year software developer realtimepro year embedded system c programming realtime application bsc computer engineering istanbul technical university,technical group embedded system realtime software
automation engineer focusing industrial robotics plc programming automation engineer robotech ltd year plc programmer autopro year plc programming robotics automation system bsc mechatronics engineering yıldız technical university,technical group robotics plc programming
medical technologist specializing diagnostic imaging radiology equipment operation radiology technologist city hospital year imaging specialist medtech solution year diagnostic imaging radiology equipment patient care diploma radiology technology hacettepe university,medical group radiology imaging technology
clinical laboratory scientist focusing microbiological test sample analysis lab scientist healthlab ltd year lab assistant biocare diagnostics year microbiology testing sample analysis laboratory equipment bsc clinical laboratory science istanbul university,medical group clinical laboratory microbiology
corporate finance analyst focusing merger acquisition financial forecasting finance analyst corporateadvisors year business consultant financegrowth ltd year merger acquisition financial forecasting risk management mba finance koç university,finance banking group corporate finance merger acquisition
tax auditor specializing corporate tax compliance financial audit tax auditor taxwise ltd year junior accountant auditpro solution year corporate tax compliance auditing financial reporting bsc accounting marmara university,finance banking group tax auditing corporate compliance
civil engineer focusing structural design geotechnical analysis structural engineer geobuild ltd year geotechnical analyst solidstructures year structural design geotechnical analysis building inspection bsc civil engineering boğaziçi university,field group civil engineering structural design
environmental engineer focusing water resource management pollution control environmental engineer ecowater solution year pollution control specialist greentech ltd year water resource management pollution control environmental impact assessment msc environmental engineering yıldız technical university,field group environmental engineering water resource
retail sale specialist expertise electronics customer acquisition sale specialist electrostore ltd year customer service representative techretail year retail sale customer engagement inventory management bba marketing marmara university,sale group retail sale customer acquisition
business development executive focusing lead generation strategic partnership business development executive bizdev ltd year sale representative growthpros year lead generation partnership development sale strategy bba business administration koç university,sale group business development strategic partnership
event planner expertise corporate luxury event event planner eventpros ltd year event coordinator eliteevents year event planning vendor management customer relation bsc tourism hospitality management ege university,hospitality group event planning corporate event
travel operation specialist focusing itinerary design group travel management travel operation specialist worldtravel ltd year group coordinator adventureco year group travel itinerary design customer relation diploma travel management akdeniz university,hospitality group travel operation group travel
social medium manager specializing campaign optimization audience engagement social medium manager digitalwave year content strategist adsphere year campaign management seo social medium strategy bsc marketing boğaziçi university,medium marketing group social medium campaign optimization
brand manager focusing digital branding market analysis brand manager brandboost ltd year marketing analyst marketpro year brand management market analysis digital campaign bsc marketing koç university,medium marketing group brand management market analysis
administrative assistant specializing office coordination document management administrative assistant bizops ltd year office coordinator admincore year office coordination document management data entry diploma business administration anadolu university,backoffice group administration office management
hr officer specializing recruitment employee onboarding process hr officer peoplefirst ltd year recruitment specialist hirepro year recruitment onboarding hr operation bba human resource marmara university,backoffice group hr recruitment
production manager focusing resource optimization workflow improvement production manager smartmanuf ltd year process analyst efficientops year resource optimization workflow improvement process analysis bsc industrial engineering middle east technical university,industrial management group production management workflow optimization
operation supervisor expertise supply chain logistics inventory control operation supervisor globalsupply ltd year logistics planner smartchain year supply chain logistics inventory control vendor negotiation bba logistics anadolu university,industrial management group operation management supply chain
automation engineer specializing industrial robotics control system automation engineer robotech ltd year control system specialist autoflow year industrial robotics plc programming control system bsc mechatronics engineering yıldız technical university,technical group automation engineering robotics
electrical engineer focusing renewable energy integration grid system electrical engineer ecoenergy solution year grid system specialist powergrid ltd year renewable energy grid system power distribution bsc electrical engineering middle east technical university,technical group electrical engineering renewable energy
pharmacist specializing clinical trial drug interaction clinical pharmacist pharmacare ltd year drug safety officer healthfirst year clinical trial drug interaction patient safety bsc pharmacy hacettepe university,medical group pharmacy clinical trial
registered nurse specializing pediatric care emergency response pediatric nurse city hospital year emergency room nurse healthplus year pediatric care emergency response patient monitoring bsc nursing istanbul university,medical group nursing pediatric care
sale executive specializing saas solution bb partnership sale executive techsales ltd year account manager bizdevco year saas sale bb partnership lead generation bba marketing koç university,sale group technology sale bb partnership
retail sale manager expertise team supervision customer satisfaction retail sale manager fashionpoint ltd year assistant manager stylehub year retail management customer satisfaction team leadership bba business administration marmara university,sale group retail management customer relation
hotel operation manager specializing front office management guest service hotel operation manager elitestays year guest service officer luxuryresorts year hotel operation front office management guest relation bsc tourism management akdeniz university,hospitality group hotel management guest service
